ENTIDAD,NOMBRE_ENTIDAD,DISTRITO_FEDERAL,DISTRITO_LOCAL,MUNICIPIO,SECCION
19,NUEVO LEON,3,25,21,2163
19,NUEVO LEON,3,25,21,2164
19,NUEVO LEON,3,25,21,2165
19,NUEVO LEON,3,25,21,2515
19,NUEVO LEON,3,25,21,2516
19,NUEVO LEON,3,25,21,2517
19,NUEVO LEON,3,25,21,2518
19,NUEVO LEON,3,25,21,2519
19,NUEVO LEON,3,25,21,2520
19,NUEVO LEON,3,25,21,2521
19,NUEVO LEON,3,25,21,2522
19,NUEVO LEON,3,25,21,2523
19,NUEVO LEON,3,25,21,2524
19,NUEVO LEON,3,25,21,2525
19,NUEVO LEON,3,25,21,2526
19,NUEVO LEON,3,25,21,2527
19,NUEVO LEON,3,25,21,2528
19,NUEVO LEON,3,25,21,2529
19,NUEVO LEON,3,25,21,2530
19,NUEVO LEON,3,25,21,2531
19,NUEVO LEON,3,25,21,2532
19,NUEVO LEON,3,25,21,2535
19,NUEVO LEON,3,25,21,2538
19,NUEVO LEON,3,25,21,2540
19,NUEVO LEON,3,25,21,2544
19,NUEVO LEON,3,25,21,2545
19,NUEVO LEON,3,25,21,2546
19,NUEVO LEON,3,25,21,2747
19,NUEVO LEON,3,25,21,2748
19,NUEVO LEON,3,25,21,2749
19,NUEVO LEON,3,25,21,2750
19,NUEVO LEON,3,25,21,2751
19,NUEVO LEON,3,25,21,2752
19,NUEVO LEON,3,25,21,2753
19,NUEVO LEON,3,25,21,2754
19,NUEVO LEON,3,25,21,2755
19,NUEVO LEON,3,25,21,2756
19,NUEVO LEON,3,25,21,2757
19,NUEVO LEON,3,25,21,2809
19,NUEVO LEON,3,25,21,2810
19,NUEVO LEON,3,25,21,2811
19,NUEVO LEON,3,25,21,2812
19,NUEVO LEON,3,25,21,2813
19,NUEVO LEON,3,25,21,2814
19,NUEVO LEON,3,25,21,2815
19,NUEVO LEON,3,25,21,2816
19,NUEVO LEON,3,25,21,2817
19,NUEVO LEON,3,25,21,2818
19,NUEVO LEON,3,25,21,2819
19,NUEVO LEON,3,25,21,2820
19,NUEVO LEON,3,25,21,2821
19,NUEVO LEON,3,25,21,2822
19,NUEVO LEON,3,25,21,2936
19,NUEVO LEON,3,25,21,2937
19,NUEVO LEON,3,25,21,2944
19,NUEVO LEON,3,25,21,2945
19,NUEVO LEON,3,25,21,2946
19,NUEVO LEON,4,9,47,1852
19,NUEVO LEON,4,9,47,1854
19,NUEVO LEON,4,9,47,1855
19,NUEVO LEON,4,9,47,1856
19,NUEVO LEON,4,9,47,1857
19,NUEVO LEON,4,9,47,1858
19,NUEVO LEON,4,9,47,1887
19,NUEVO LEON,4,9,47,1888
19,NUEVO LEON,4,9,47,1889
19,NUEVO LEON,4,9,47,1890
19,NUEVO LEON,4,9,47,1891
19,NUEVO LEON,4,9,47,1892
19,NUEVO LEON,4,9,47,1893
19,NUEVO LEON,4,9,47,1894
19,NUEVO LEON,4,9,47,1895
19,NUEVO LEON,4,9,47,1896
19,NUEVO LEON,4,9,47,1902
19,NUEVO LEON,4,9,47,1903
19,NUEVO LEON,4,9,47,1904
19,NUEVO LEON,4,9,47,1905
19,NUEVO LEON,4,9,47,1906
19,NUEVO LEON,4,9,47,1907
19,NUEVO LEON,4,9,47,1908
19,NUEVO LEON,4,9,47,1909
19,NUEVO LEON,4,9,47,1910
19,NUEVO LEON,4,9,47,1911
19,NUEVO LEON,4,9,47,1914
19,NUEVO LEON,4,9,47,1915
19,NUEVO LEON,4,9,47,1916
19,NUEVO LEON,4,9,47,1917
19,NUEVO LEON,4,9,47,1918
19,NUEVO LEON,4,9,47,1919
19,NUEVO LEON,4,9,47,1920
19,NUEVO LEON,4,9,47,1921
19,NUEVO LEON,4,9,47,1922
19,NUEVO LEON,4,9,47,1923
19,NUEVO LEON,4,9,47,1924
19,NUEVO LEON,4,9,47,1925
19,NUEVO LEON,4,9,47,1926
19,NUEVO LEON,4,9,47,1927
19,NUEVO LEON,4,9,47,1928
19,NUEVO LEON,4,9,47,1929
19,NUEVO LEON,4,9,47,1930
19,NUEVO LEON,4,9,47,1931
19,NUEVO LEON,4,9,47,1932
19,NUEVO LEON,4,9,47,1933
19,NUEVO LEON,4,9,47,1934
19,NUEVO LEON,4,9,47,1935
19,NUEVO LEON,4,9,47,1936
19,NUEVO LEON,4,9,47,1937
19,NUEVO LEON,4,9,47,1938
19,NUEVO LEON,4,9,47,1939
19,NUEVO LEON,4,9,47,1940
19,NUEVO LEON,4,9,47,1941
19,NUEVO LEON,4,9,47,1942
19,NUEVO LEON,4,9,47,1943
19,NUEVO LEON,4,9,47,1944
19,NUEVO LEON,4,9,47,1945
19,NUEVO LEON,4,9,47,1946
19,NUEVO LEON,4,9,47,1947
19,NUEVO LEON,4,9,47,1948
19,NUEVO LEON,4,9,47,1949
19,NUEVO LEON,4,9,47,1950
19,NUEVO LEON,4,9,47,1951
19,NUEVO LEON,4,9,47,1952
19,NUEVO LEON,4,9,47,1953
